,temperature,p,alpha_plus,alpha_minus,seed,total_reward
490,0.01,0.1,0.0025,0.01,41,7974
491,0.01,0.1,0.0025,0.01,42,8066
492,0.01,0.1,0.0025,0.01,43,7974
493,0.01,0.1,0.0025,0.01,44,7826
494,0.01,0.1,0.0025,0.01,45,7952
495,0.01,0.1,0.0025,0.01,46,8122
496,0.01,0.1,0.0025,0.01,47,8054
497,0.01,0.1,0.0025,0.01,48,7968
498,0.01,0.1,0.0025,0.01,49,7994
499,0.01,0.1,0.0025,0.01,50,7942
500,0.01,0.1,0.005,0.001,1,7970
501,0.01,0.1,0.005,0.001,2,7950
502,0.01,0.1,0.005,0.001,3,8034
503,0.01,0.1,0.005,0.001,4,7916
504,0.01,0.1,0.005,0.001,5,8074
505,0.01,0.1,0.005,0.001,6,8000
506,0.01,0.1,0.005,0.001,7,8030
507,0.01,0.1,0.005,0.001,8,8040
508,0.01,0.1,0.005,0.001,9,7996
509,0.01,0.1,0.005,0.001,10,7992
510,0.01,0.1,0.005,0.001,11,8014
511,0.01,0.1,0.005,0.001,12,8036
512,0.01,0.1,0.005,0.001,13,8030
513,0.01,0.1,0.005,0.001,14,8100
514,0.01,0.1,0.005,0.001,15,7980
515,0.01,0.1,0.005,0.001,16,8018
516,0.01,0.1,0.005,0.001,17,8046
517,0.01,0.1,0.005,0.001,18,7958
518,0.01,0.1,0.005,0.001,19,8048
519,0.01,0.1,0.005,0.001,20,7932
520,0.01,0.1,0.005,0.001,21,8024
521,0.01,0.1,0.005,0.001,22,7912
522,0.01,0.1,0.005,0.001,23,7938
523,0.01,0.1,0.005,0.001,24,7970
524,0.01,0.1,0.005,0.001,25,7932
525,0.01,0.1,0.005,0.001,26,7934
526,0.01,0.1,0.005,0.001,27,8034
527,0.01,0.1,0.005,0.001,28,7926
528,0.01,0.1,0.005,0.001,29,7992
529,0.01,0.1,0.005,0.001,30,8082
530,0.01,0.1,0.005,0.001,31,8030
531,0.01,0.1,0.005,0.001,32,7982
532,0.01,0.1,0.005,0.001,33,7916
533,0.01,0.1,0.005,0.001,34,8040
534,0.01,0.1,0.005,0.001,35,7910
535,0.01,0.1,0.005,0.001,36,8072
536,0.01,0.1,0.005,0.001,37,8022
537,0.01,0.1,0.005,0.001,38,7990
538,0.01,0.1,0.005,0.001,39,8000
539,0.01,0.1,0.005,0.001,40,8064
540,0.01,0.1,0.005,0.001,41,7970
541,0.01,0.1,0.005,0.001,42,8074
542,0.01,0.1,0.005,0.001,43,7982
543,0.01,0.1,0.005,0.001,44,7826
544,0.01,0.1,0.005,0.001,45,7960
545,0.01,0.1,0.005,0.001,46,8126
546,0.01,0.1,0.005,0.001,47,8066
547,0.01,0.1,0.005,0.001,48,7968
548,0.01,0.1,0.005,0.001,49,7998
549,0.01,0.1,0.005,0.001,50,7938
550,0.01,0.1,0.005,0.0025,1,7970
551,0.01,0.1,0.005,0.0025,2,7950
552,0.01,0.1,0.005,0.0025,3,8034
553,0.01,0.1,0.005,0.0025,4,7920
554,0.01,0.1,0.005,0.0025,5,8074
555,0.01,0.1,0.005,0.0025,6,8004
556,0.01,0.1,0.005,0.0025,7,8030
557,0.01,0.1,0.005,0.0025,8,8040
558,0.01,0.1,0.005,0.0025,9,7996
559,0.01,0.1,0.005,0.0025,10,7992
560,0.01,0.1,0.005,0.0025,11,8014
561,0.01,0.1,0.005,0.0025,12,8040
562,0.01,0.1,0.005,0.0025,13,8034
563,0.01,0.1,0.005,0.0025,14,8100
564,0.01,0.1,0.005,0.0025,15,7980
565,0.01,0.1,0.005,0.0025,16,8022
566,0.01,0.1,0.005,0.0025,17,8046
567,0.01,0.1,0.005,0.0025,18,7958
568,0.01,0.1,0.005,0.0025,19,8048
569,0.01,0.1,0.005,0.0025,20,7932
570,0.01,0.1,0.005,0.0025,21,8024
571,0.01,0.1,0.005,0.0025,22,7912
572,0.01,0.1,0.005,0.0025,23,7946
573,0.01,0.1,0.005,0.0025,24,7970
574,0.01,0.1,0.005,0.0025,25,7932
575,0.01,0.1,0.005,0.0025,26,7946
576,0.01,0.1,0.005,0.0025,27,8034
577,0.01,0.1,0.005,0.0025,28,7930
578,0.01,0.1,0.005,0.0025,29,7988
579,0.01,0.1,0.005,0.0025,30,8082
